block,run_id,cell,pair,role,phase,sample,q_before_ns,windows_ns,q_after_ns,rtt_ns,offset_windows_minus_q_ns
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,destination_init,before,1,1784150589135608000,1784150584813859000,1784150589423517000,287909000,-4465703500
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,destination_init,before,2,1784150589424318000,1784150584820402100,1784150589424823000,505000,-4604168400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,destination_init,before,3,1784150589425117000,1784150584821122300,1784150589425461000,344000,-4604166700
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,destination_init,after,1,1784150590829984000,1784150586493842600,1784150591102382000,272398000,-4472340400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,destination_init,after,2,1784150591102861000,1784150586498898900,1784150591103253000,392000,-4604158100
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,destination_init,after,3,1784150591103425000,1784150586499420500,1784150591103795000,370000,-4604189500
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,source_init,before,1,1784150601664365000,1784150597343279200,1784150601953196000,288831000,-4465501300
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,source_init,before,2,1784150601954077000,1784150597350060600,1784150601954582000,505000,-4604268900
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,source_init,before,3,1784150601954828000,1784150597350726600,1784150601955178000,350000,-4604276400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,source_init,after,1,1784150603068412000,1784150598734172100,1784150603343014000,274602000,-4471540900
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,source_init,after,2,1784150603343542000,1784150598739469500,1784150603343945000,403000,-4604274000
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,3,source_init,after,3,1784150603344155000,1784150598740027400,1784150603344451000,296000,-4604275600
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,destination_init,before,1,1784150612822395000,1784150608499777800,1784150613109526000,287131000,-4466182700
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,destination_init,before,2,1784150613110419000,1784150608506331600,1784150613111014000,595000,-4604384900
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,destination_init,before,3,1784150613111258000,1784150608507087000,1784150613111644000,386000,-4604364000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,destination_init,after,1,1784150614390076000,1784150610055639100,1784150614664603000,274527000,-4471700400
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,destination_init,after,2,1784150614665414000,1784150610061357600,1784150614666100000,686000,-4604399400
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,destination_init,after,3,1784150614666429000,1784150610062300000,1784150614666986000,557000,-4604407500
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,source_init,before,1,1784150620325374000,1784150616008883000,1784150620618850000,293476000,-4463229000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,source_init,before,2,1784150620619583000,1784150616015418500,1784150620620106000,523000,-4604426000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,source_init,before,3,1784150620620413000,1784150616016170800,1784150620620760000,347000,-4604415700
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,source_init,after,1,1784150622232522000,1784150617898778000,1784150622507976000,275454000,-4471471000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,source_init,after,2,1784150622508845000,1784150617904753300,1784150622509608000,763000,-4604473200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,3,source_init,after,3,1784150622509967000,1784150617905768500,1784150622510544000,577000,-4604487000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,source_init,before,1,1784150635125205000,1784150630805542600,1784150635414994000,289789000,-4464556900
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,source_init,before,2,1784150635415836000,1784150630811534800,1784150635416320000,484000,-4604543200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,source_init,before,3,1784150635416610000,1784150630812235000,1784150635416964000,354000,-4604552000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,source_init,after,1,1784150636885549000,1784150632549396700,1784150637158508000,272959000,-4472631800
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,source_init,after,2,1784150637159270000,1784150632554970800,1784150637159769000,499000,-4604548700
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,source_init,after,3,1784150637160037000,1784150632555693800,1784150637160447000,410000,-4604548200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,destination_init,before,1,1784150644540212000,1784150640221840800,1784150644831494000,291282000,-4464012200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,destination_init,before,2,1784150644832379000,1784150640228512600,1784150644833622000,1243000,-4604487900
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,destination_init,before,3,1784150644833869000,1784150640229483700,1784150644834303000,434000,-4604602300
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,destination_init,after,1,1784150646128618000,1784150641793718700,1784150646403035000,274417000,-4472107800
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,destination_init,after,2,1784150646403858000,1784150641799478100,1784150646404377000,519000,-4604639400
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,4,destination_init,after,3,1784150646404662000,1784150641800202000,1784150646405029000,367000,-4604643500
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,source_init,before,1,1784150653437377000,1784150649116845200,1784150653727023000,289646000,-4465354800
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,source_init,before,2,1784150653727911000,1784150649123474700,1784150653728438000,527000,-4604699800
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,source_init,before,3,1784150653728644000,1784150649124114800,1784150653728991000,347000,-4604702700
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,source_init,after,1,1784150654905761000,1784150650568968800,1784150655178046000,272285000,-4472934700
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,source_init,after,2,1784150655178749000,1784150650574270100,1784150655179186000,437000,-4604697400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,source_init,after,3,1784150655179408000,1784150650574866800,1784150655179818000,410000,-4604746200
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,destination_init,before,1,1784150665037513000,1784150660722521300,1784150665332821000,295308000,-4462645700
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,destination_init,before,2,1784150665333645000,1784150660729102800,1784150665334157000,512000,-4604798200
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,destination_init,before,3,1784150665334441000,1784150660729827000,1784150665334825000,384000,-4604806000
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,destination_init,after,1,1784150666637806000,1784150662305327100,1784150666914776000,276970000,-4470963900
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,destination_init,after,2,1784150666915630000,1784150662311084600,1784150666916148000,518000,-4604804400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,4,destination_init,after,3,1784150666916424000,1784150662311808500,1784150666916794000,370000,-4604800500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,source_init,before,1,1784150677095969000,1784150672781370200,1784150677391633000,295664000,-4462430800
